Country,City-UTF8,City-ASCII,Population,Latitude,Longitude
RU,Novorossiysk,Novorossiysk,241856,44.72439,37.76752
TR,Balıkesir,Balikesir,238151,39.64917,27.88611
DK,Århus,Arhus,237551,56.15674,10.21076
SK,Košice,Kosice,236563,48.71395,21.25808
UA,Chernivtsi,Chernivtsi,236250,48.29149,25.94034
UA,Ternopil,Ternopil,235676,49.55342,25.58918
ES,Gasteiz / Vitoria,Gasteiz / Vitoria,235661,42.84998,-2.67268
ES,Granada,Granada,234325,37.18817,-3.60667
DE,Kiel,Kiel,232758,54.32133,10.13489
FR,Bordeaux,Bordeaux,231844,44.84044,-0.5805
RU,Syktyvkar,Syktyvkar,230139,61.67642,50.80994
GB,Milton Keynes,Milton Keynes,229941,52.04172,-0.75583
DE,Magdeburg,Magdeburg,229826,52.12773,11.62916
RO,Ploieşti,Ploiesti,228851,44.95,26.01667
FR,Lille,Lille,228328,50.63297,3.05858
UA,Kremenchuk,Kremenchuk,227494,49.06802,33.42041
RU,Staryy Oskol,Staryy Oskol,226977,51.29667,37.84167
PL,Radom,Radom,226794,51.40253,21.14714
RU,Groznyy,Groznyy,226100,43.31195,45.68895
TR,Adıyaman,Adiyaman,223744,37.76441,38.27629
ES,Santa Cruz de Tenerife,Santa Cruz de Tenerife,222417,28.46824,-16.25462
AT,Graz,Graz,222326,47.06667,15.45
RU,Shakhty,Shakhty,221312,47.70911,40.21443
BA,Banja Luka,Banja Luka,221106,44.77842,17.19386
BY,Babruysk,Babruysk,220517,53.1384,29.2214
IT,Messina,Messina,219948,38.19394,15.55256
IT,Verona,Verona,219103,45.4299,10.98444
RU,Rybinsk,Rybinsk,216724,58.0446,38.84259
DE,Freiburg,Freiburg,215966,47.9959,7.85222
RU,Velikiy Novgorod,Velikiy Novgorod,215062,58.52131,31.27104
UA,Lutsk,Lutsk,213661,50.75932,25.34244
NO,Bergen,Bergen,213585,60.39299,5.32415
GB,Norwich,Norwich,213166,52.62783,1.29834
DE,Lübeck,Luebeck,212207,53.86893,10.68729
TR,Kırıkkale,Kirikkale,211138,39.84528,33.50639
TR,Antakya,Antakya,210000,36.20655,36.15722
NL,Eindhoven,Eindhoven,209620,51.44083,5.47778
FR,Rennes,Rennes,209375,48.11198,-1.67429
PL,Kielce,Kielce,208598,50.87033,20.62752
ES,Jerez de la Frontera,Jerez de la Frontera,207532,36.68645,-6.13606
RO,Oradea,Oradea,206614,47.0458,21.91833
AT,Linz,Linz,204846,48.30639,14.28611
UA,Ivano-Frankivsk,Ivano-Frankivsk,204200,48.9215,24.70972
HU,Debrecen,Debrecen,204124,47.53333,21.63333
IT,Padova,Padova,203725,45.40797,11.88586
DE,Erfurt,Erfurt,203254,50.9787,11.03283
TR,Osmaniye,Osmaniye,202837,37.07417,36.24778
FI,Tampere,Tampere,202687,61.49911,23.78712
TR,Çorlu,Corlu,202578,41.15917,27.8
RU,Pskov,Pskov,201990,57.8136,28.3496
RU,Balakovo,Balakovo,199572,52.02782,47.8007
RU,Armavir,Armavir,199548,44.9892,41.1234
UA,Bila Tserkva,Bila Tserkva,199163,49.80939,30.11209
ES,Pamplona,Pamplona,198491,42.81687,-1.64323
DE,Rostock,Rostock,198293,54.0887,12.14049
GB,Aberdeen,Aberdeen,196670,57.14369,-2.09814
FR,Reims,Reims,196565,49.25,4.03333
BG,Burgas,Burgas,195966,42.50606,27.46781
DE,Kassel,Kassel,194501,51.31667,9.5
LT,Klaipėda,Klaipeda,192307,55.70888,21.14312
RU,Zlatoust,Zlatoust,191366,55.17111,59.65083
IE,Cork,Cork,190384,51.89797,-8.47061
RU,Syzran’,Syzran',189338,53.1585,48.4681
ES,Almería,Almeria,188810,36.83814,-2.45974
IT,Trieste,Trieste,187056,45.64953,13.77678
FR,Le Havre,Le Havre,185972,49.4938,0.10767
GB,Swindon,Swindon,185609,51.55797,-1.78116
ES,Donostia / San Sebastián,San Sebastian,185357,43.31283,-1.97499
TR,Kütahya,Kutahya,185008,39.42417,29.98333
IT,Brescia,Brescia,184826,45.53558,10.21472
CH,Genève,Geneve,183981,46.20222,6.14569
TR,Çorum,Corum,183418,40.54889,34.95333
ES,Santander,Santander,182700,43.46472,-3.80444
DE,Saarbrücken,Saarbruecken,181227,49.23262,7.00982
NL,Groningen,Groningen,181194,53.21917,6.56667
IT,Taranto,Taranto,181082,40.46438,17.24707
ES,Castelló de la Plana,Castello de la Plana,180005,39.98567,-0.04935
ES,Burgos,Burgos,178966,42.34106,-3.70184
GB,Ipswich,Ipswich,178835,52.05917,1.15545
